Id,SalePrice
1461,124181.43780153
1462,154442.843405732
1463,175328.589838371
1464,176282.819613716
1465,240713.342211886
1466,169395.450577445
1467,171743.421677129
1468,158361.314648502
1469,182533.310710362
1470,127359.840462498
1471,172813.753150483
1472,105913.835513149
1473,105876.016332955
1474,138518.843451856
1475,140002.714155418
1476,382635.589959556
1477,289158.989045505
1478,311643.873153867
1479,300979.346257564
1480,452820.488059948
1481,313249.527395932
1482,231102.032855065
1483,178142.608431345
1484,167942.12459056
1485,189361.303144408
1486,193974.372447991
1487,330581.525895814
1488,247147.379835383
1489,208945.018077913
1490,235401.287029931
1491,187395.602997638
1492,116403.172263615
1493,174481.565990105
1494,311892.985123143
1495,310688.593915039
1496,232488.723744027
1497,189678.105143996
1498,175840.640636952
1499,177443.667558834
1500,158942.209809778
1501,157165.489961814
1502,181804.803979099
1503,288424.994976849
1504,246693.145600628
1505,219482.194057277
1506,195967.682787334
1507,219276.168037793
1508,217841.315989119
1509,170288.9485146
1510,146186.886547081
1511,141560.723619224
1512,168487.391978099
1513,137831.952288191
1514,201807.627005202
1515,209095.891184344
1516,158839.632213626
1517,157523.750560844
1518,141330.980462039
1519,203219.281510267
1520,128373.242640127
1521,139900.997541375
1522,170227.842649247
1523,120561.944371793
1524,127714.215115596
1525,135067.454048822
1526,124881.053510229
1527,121041.134943244
1528,138279.54324714
1529,137049.768797601
1530,162238.434494306
1531,116084.053462895
1532,114704.742490564
1533,115229.603947272
1534,120171.259291031
1535,142092.54595187
1536,111178.438839363
1537,75359.1666255067
1538,181223.835481251
1539,234195.855217782
1540,109256.540910272
1541,129187.622325795
1542,130293.347172069
1543,187001.296423639
1544,96571.1375579687
1545,121232.286883146
1546,132790.48460282
1547,132990.867871478
1548,130676.854902724
1549,118953.927564487
1550,133398.765164187
1551,120673.240454401
1552,138692.259689834
1553,151070.560785874
1554,115048.295523562
1555,202293.222406759
1556,125328.041998665
1557,105910.507909066
1558,102471.203631474
1559,104453.68288144
1560,135757.305080269
1561,156351.684632056
1562,131883.929089965
1563,127748.372267634
1564,165767.214177513
1565,139600.521918455
1566,241385.954524718
1567,95483.5170780632
1568,216089.623758512
1569,126466.995487281
1570,132633.421343156
1571,111228.800622695
1572,138355.193484172
1573,258594.405784815
1574,108141.119936209
1575,220847.308837819
1576,192523.375733673
1577,200566.803807632
1578,152268.385975513
1579,145426.792049162
1580,190354.851836858
1581,164507.227403357
1582,141126.282422412
1583,327094.006479393
1584,219531.349137153
1585,153736.649934953
1586,93322.6771140656
1587,101092.351993976
1588,138214.476079675
1589,99740.6701377707
1590,123113.299106295
1591,103070.209466958
1592,107013.188330079
1593,124464.102181873
1594,223603.5827687
1595,111367.130352584
1596,242916.308664708
1597,187150.424701414
1598,210561.48896946
1599,204357.815618663
1600,192528.376336853
1601,101425.74857974
1602,120261.286960654
1603,101750.582126779
1604,295479.080403066
1605,243832.676755719
1606,153628.185297294
1607,227963.184594884
1608,218752.44655311
1609,208556.496709797
1610,150525.498588327
1611,136346.341369356
1612,155119.358333113
1613,138020.470900728
1614,118181.044770559
1615,102673.607251078
1616,87355.7924196179
1617,103766.00749405
1618,132674.637525608
1619,134340.488851679
1620,189292.220352925
1621,130997.679423765
1622,139476.487587509
1623,279621.099634846
1624,154301.592653382
1625,126521.901945054
1626,160002.756607223
1627,176583.193203733
1628,283724.285382144
1629,187243.468511159
1630,370242.527951705
1631,245447.864854982
1632,271452.989987398
1633,181632.245749549
1634,181557.801036782
1635,172271.044020297
1636,153331.470070666
1637,192092.354514625
1638,204443.041738852
1639,184413.498807731
1640,247090.019018609
1641,181287.720247045
1642,209155.45235309
1643,238215.090790329
1644,233608.111427488
1645,201219.90620152
1646,163085.613847228
1647,174467.521633155
1648,132968.509103656
1649,138837.84062425
1650,120243.958856647
1651,122692.938506944
1652,107841.563493189
1653,107652.002209467
1654,142806.16846989
1655,159765.177303054
1656,136633.820150906
1657,139504.619800621
1658,143282.850466509
1659,146343.929122108
1660,157154.436792732
1661,460865.089240236
1662,403970.270817497
1663,390939.323276206
1664,462911.259004001
1665,342458.854641871
1666,313064.195916891
1667,324140.721984554
1668,344494.700908147
1669,321295.68370735
1670,365226.376185548
1671,258071.796473542
1672,430372.432912978
1673,322670.171134074
1674,267331.950041345
1675,189258.946860914
1676,187192.629735834
1677,212378.372675644
1678,445374.955679297
1679,393822.777005586
1680,347020.018163445
1681,303966.694211763
1682,284273.762029735
1683,191468.015839542
1684,180982.288545202
1685,171148.043869793
1686,167892.404034952
1687,177990.280649138
1688,190639.449462768
1689,192664.793539531
1690,202291.573371731
1691,191392.04571219
1692,284432.241986256
1693,181468.265026083
1694,176592.005118651
1695,171027.179284293
1696,249045.099867924
1697,173902.150429162
1698,370514.747814332
1699,330336.217698986
1700,261110.716118594
1701,289436.362624012
1702,259414.82978605
1703,262992.974479298
1704,281113.809910047
1705,246219.934136615
1706,415017.922767122
1707,222645.570967759
1708,199148.025108694
1709,285671.802786845
1710,226278.621535264
1711,260004.600850645
1712,277942.822665499
1713,268648.538704015
1714,214162.76450506
1715,201842.460572535
1716,178076.064957264
1717,172795.786772014
1718,145445.217321374
1719,192733.182923215
1720,256022.53091377
1721,170591.875804624
1722,137587.651230159
1723,144715.631250794
1724,215654.4697303
1725,224793.474320529
1726,176565.131249978
1727,155398.311914243
1728,174409.88255909
1729,152909.661713414
1730,166581.881542104
1731,121812.409531524
1732,95352.2627084669
1733,132166.96844848
1734,127156.056454955
1735,143784.008824119
1736,120635.178707534
1737,379797.415239524
1738,232333.868648505
1739,311643.022816938
1740,209187.9433149
1741,189093.45956386
1742,167980.212007037
1743,176068.125225877
